Asset_1,Asset_2,P_Value,Hedge_Ratio
CHZ.SI,N2IU.SI,0.0,0.2829
G13.SI,Z25.SI,0.0,0.2135
1H3.SI,T6I.SI,0.0,-0.0017
1H3.SI,Z74.SI,0.0,-0.0008
1H3.SI,P15.SI,0.0,-0.0056
1H3.SI,P40U.SI,0.0,-0.009
1H3.SI,Q01.SI,0.0,-0.0079
1H3.SI,P8Z.SI,0.0,-0.0015
1H3.SI,O39.SI,0.0,-0.0003
1H3.SI,OV8.SI,0.0,-0.0012
1H3.SI,NR7.SI,0.0,-0.0125
1H3.SI,T82U.SI,0.0,-0.0032
1H3.SI,V03.SI,0.0,-0.0002
1H3.SI,U14.SI,0.0,-0.0003
1H3.SI,U06.SI,0.0,-0.0006
1H3.SI,D01.SI,0.0,-0.0006
1H3.SI,L19.SI,0.0,-0.0037
1H3.SI,M14.SI,0.0,-0.003
1H3.SI,M1GU.SI,0.0,-0.0088
1H3.SI,MXNU.SI,0.0,-0.012
1H3.SI,NPW.SI,0.0,-0.0043
1H3.SI,N2IU.SI,0.0,-0.0031
1H3.SI,C38U.SI,0.0,-0.0023
1H3.SI,J36.SI,0.0,-0.0
1H3.SI,H22.SI,0.0,-0.0005
1H3.SI,H78.SI,0.0,-0.0003
1H3.SI,S68.SI,0.0,-0.0002
1H3.SI,S69.SI,0.0,-0.0287
1H3.SI,S63.SI,0.0,-0.0003
1H3.SI,S56.SI,0.0,-0.003
1H3.SI,QC7.SI,0.0,-0.0044
1H3.SI,Q0F.SI,0.0,-0.0016
1H3.SI,CHZ.SI,0.0,-0.0113
1H3.SI,D05.SI,0.0,-0.0001
1H3.SI,BN4.SI,0.0,-0.0003
1H3.SI,A17U.SI,0.0,-0.0027
1H3.SI,53W.SI,0.0,-0.0079
1H3.SI,544.SI,0.0,-0.0019
1H3.SI,558.SI,0.0,-0.0023
1H3.SI,2318.HK,0.0,-0.0
1H3.SI,C07.SI,0.0,-0.0001
1H3.SI,C09.SI,0.0,-0.0003
1H3.SI,1MZ.SI,0.0,-0.002
1H3.SI,BUOU.SI,0.0,-0.0052
1H3.SI,BN2.SI,0.0,-0.004
1H3.SI,42C.SI,0.0,-0.008
1H3.SI,40T.SI,0.0,0.017
1H3.SI,41B.SI,0.0,-0.0025
1H3.SI,A31.SI,0.0,-0.0212
1H3.SI,BEC.SI,0.0,-0.0006
1H3.SI,G92.SI,0.0,-0.0013
1H3.SI,F34.SI,0.0,-0.0023
1H3.SI,5UF.SI,0.0,-0.0071
1H3.SI,5TP.SI,0.0,-0.0011
1H3.SI,5WJ.SI,0.0,-0.0023
1H3.SI,A04.SI,0.0,-0.005
1H3.SI,H02.SI,0.0,-0.0002
1H3.SI,5LY.SI,0.0,-0.0124
1H3.SI,EB5.SI,0.0,-0.0017
1H3.SI,D5IU.SI,0.0,0.172
1H3.SI,F03.SI,0.0,-0.0006
1H3.SI,F17.SI,0.0,-0.0011
G13.SI,OXMU.SI,1e-05,0.7387
1H3.SI,M44U.SI,1e-05,-0.0039
1H3.SI,5JS.SI,1e-05,-0.011
1H3.SI,S20.SI,1e-05,-0.0025
1H3.SI,K71U.SI,1e-05,-0.0041
1H3.SI,H13.SI,1e-05,-0.0017
1H3.SI,AW9U.SI,1e-05,-0.0259
1H3.SI,VC2.SI,1e-05,0.0046
1H3.SI,O10.SI,1e-05,-0.0028
